Locus,Pubmed accession number
MW510938,['34188091']
MW510937,['34188091']
MW510936,['34188091']
MW510935,['34188091']
MW510934,['34188091']
MW510933,['34188091']
MW510932,['34188091']
MW510931,['34188091']
MW510930,['34188091']
MW510929,['34188091']
MW510928,['34188091']
MW510927,['34188091']
MW510926,['34188091']
MW510925,['34188091']
MW510924,['34188091']
MW510923,['34188091']
MW510922,['34188091']
MW510921,['34188091']
MW510920,['34188091']
MW510919,['34188091']
MW510918,['34188091']
MW510917,['34188091']
MW510916,['34188091']
MW510915,['34188091']
MW510914,['34188091']
MW510913,['34188091']
MW510912,['34188091']
MW510911,['34188091']
MW510910,['34188091']
MW510909,['34188091']
MW510908,['34188091']
MW510907,['34188091']
MW510906,['34188091']
MW510905,['34188091']
MW510904,['34188091']
MW510903,['34188091']
MW510902,['34188091']
MW510901,['34188091']
MW510900,['34188091']
MW510899,['34188091']
MW510898,['34188091']
MW510897,['34188091']
MW510896,['34188091']
MW510895,['34188091']
MW510894,['34188091']
MW510893,['34188091']
MW510892,['34188091']
MW510891,['34188091']
MW510890,['34188091']
MW510889,['34188091']
MW510888,['34188091']
MW510887,['34188091']
MW510886,['34188091']
MW510885,['34188091']
MW510884,['34188091']
MW510883,['34188091']
MW510882,['34188091']
MW510881,['34188091']
MW510880,['34188091']
MW510879,['34188091']
MW510878,['34188091']
MW510877,['34188091']
MW510876,['34188091']
MW510875,['34188091']
MW510874,['34188091']
MW510873,['34188091']
MW510872,['34188091']
MW510871,['34188091']
MW510870,['34188091']
MW510868,['34188091']
MW510867,['34188091']
MW510866,['34188091']
MW510865,['34188091']
MW510864,['34188091']
MW510863,['34188091']
MW510862,['34188091']
MW510861,['34188091']
MW510860,['34188091']
MW510859,['34188091']
MW510858,['34188091']
MW510857,['34188091']
MW510856,['34188091']
MW510855,['34188091']
MW510854,['34188091']
MW510853,['34188091']
MW510852,['34188091']
MW510851,['34188091']
MW510850,['34188091']
MW510849,['34188091']
MW510848,['34188091']
MW510847,['34188091']
MW510846,['34188091']
MW510845,['34188091']
MW510844,['34188091']
MW510843,['34188091']
MW510842,['34188091']
MW510841,['34188091']
MW510840,['34188091']
MW510839,['34188091']
MW510838,['34188091']
MW510837,['34188091']
MW510836,['34188091']
MW510835,['34188091']
MW510834,['34188091']
MW510833,['34188091']
MW510832,['34188091']
MW510831,['34188091']
MW510830,['34188091']
MW510829,['34188091']
MW510828,['34188091']
MW510827,['34188091']
MW510826,['34188091']
MW510825,['34188091']
MW510824,['34188091']
MW510823,['34188091']
MW510822,['34188091']
MW510821,['34188091']
MW510820,['34188091']
MW510819,['34188091']
MW510818,['34188091']
MW510817,['34188091']
MW510816,['34188091']
MW510815,['34188091']
MW510814,['34188091']
MW510813,['34188091']
MW510812,['34188091']
MW510811,['34188091']
MW510810,['34188091']
MW510809,['34188091']
MW510808,['34188091']
MW510807,['34188091']
MW510806,['34188091']
MW510805,['34188091']
MW510804,['34188091']
MW510803,['34188091']
MW510802,['34188091']
MW510801,['34188091']
MW510800,['34188091']
MW510799,['34188091']
MW510798,['34188091']
MW510797,['34188091']
MW510796,['34188091']
MW510795,['34188091']
MW510794,['34188091']
MW510793,['34188091']
MW510792,['34188091']
MW510791,['34188091']
MW510790,['34188091']
MW510789,['34188091']
MW510788,['34188091']
MW510787,['34188091']
MW510786,['34188091']
MW510785,['34188091']
MW510784,['34188091']
MW510783,['34188091']
MW510782,['34188091']
MW510781,['34188091']
MW510780,['34188091']
MW510779,['34188091']
MW510778,['34188091']
MW510777,['34188091']
MW510776,['34188091']
MW510775,['34188091']
MW510774,['34188091']
MW510773,['34188091']
MW510772,['34188091']
MW510771,['34188091']
MW510770,['34188091']
MW510769,['34188091']
MW510768,['34188091']
MW510767,['34188091']
MW510766,['34188091']
MW510765,['34188091']
MW510764,['34188091']
MW510763,['34188091']
MW510762,['34188091']
MW510761,['34188091']
MW510760,['34188091']
MW510759,['34188091']
MW510758,['34188091']
MW510757,['34188091']
MW510756,['34188091']
MW510755,['34188091']
MW510754,['34188091']
MW510753,['34188091']
MW510752,['34188091']
MW510751,['34188091']
MW510750,['34188091']
MW510749,['34188091']
MW510748,['34188091']
MW510747,['34188091']
MW510746,['34188091']
MW510745,['34188091']
MW510744,['34188091']
MW510743,['34188091']
MW510742,['34188091']
MW510741,['34188091']
MW510740,['34188091']
MW510739,['34188091']
MW510738,['34188091']
MW510737,['34188091']
MW510736,['34188091']
MW510735,['34188091']
MW510734,['34188091']
MW510733,['34188091']
MW510732,['34188091']
MW510731,['34188091']
MW510730,['34188091']
MW510729,['34188091']
MW510728,['34188091']
MW510727,['34188091']
MW510726,['34188091']
MW510725,['34188091']
MW510724,['34188091']
MW510723,['34188091']
MW510722,['34188091']
MW510721,['34188091']
MW510720,['34188091']
MW510719,['34188091']
MW510718,['34188091']
MW510717,['34188091']
MW510716,['34188091']
MW510715,['34188091']
MW510714,['34188091']
MW510713,['34188091']
MW510712,['34188091']
MW510711,['34188091']
MW510710,['34188091']
MW510709,['34188091']
MW510708,['34188091']
MW510707,['34188091']
MW510706,['34188091']
MW510705,['34188091']
MW510704,['34188091']
MW510703,['34188091']
MW510702,['34188091']
MW510701,['34188091']
MW510700,['34188091']
MW510699,['34188091']
MW510698,['34188091']
MW510697,['34188091']
MW510696,['34188091']
MW510695,['34188091']
MW510694,['34188091']
MW510693,['34188091']
MW510692,['34188091']
MW510691,['34188091']
MW510690,['34188091']
MW510689,['34188091']
MW510688,['34188091']
MW510687,['34188091']
MW510686,['34188091']
MW510685,['34188091']
MW510684,['34188091']
MW510683,['34188091']
MW510682,['34188091']
MW510681,['34188091']
MW510680,['34188091']
MW510679,['34188091']
MW510678,['34188091']
MW510677,['34188091']
MW510676,['34188091']
MW510675,['34188091']
MW510674,['34188091']
MW510673,['34188091']
MW510672,['34188091']
MW510671,['34188091']
MW510670,['34188091']
MW510669,['34188091']
MW510668,['34188091']
MW510667,['34188091']
MW510666,['34188091']
MW510665,['34188091']
MW510664,['34188091']
MW510663,['34188091']
MW510662,['34188091']
MW510661,['34188091']
MW510660,['34188091']
MW510659,['34188091']
MW510658,['34188091']
MW510657,['34188091']
MW510656,['34188091']
MW510655,['34188091']
MW510654,['34188091']
MW510653,['34188091']
MW510652,['34188091']
MW510651,['34188091']
MW510650,['34188091']
MW510649,['34188091']
MW510648,['34188091']
MW510647,['34188091']
MW510646,['34188091']
MW510645,['34188091']
MW510644,['34188091']
MW510643,['34188091']
MW510642,['34188091']
MW510641,['34188091']
MW510640,['34188091']
MW510639,['34188091']
MW510638,['34188091']
MW510637,['34188091']
MW510636,['34188091']
MW510635,['34188091']
MW510634,['34188091']
MW510633,['34188091']
MW510632,['34188091']
MW510631,['34188091']
MW510630,['34188091']
MW510629,['34188091']
MW510628,['34188091']
MW510627,['34188091']
MW510626,['34188091']
MW510625,['34188091']
MW510624,['34188091']
MW510623,['34188091']
MW510622,['34188091']
MW510621,['34188091']
MW510620,['34188091']
MW510619,['34188091']
MW510618,['34188091']
MW510617,['34188091']
MW510616,['34188091']
MW510615,['34188091']
MW510614,['34188091']
MW510612,['34188091']
MW510611,['34188091']
MW510610,['34188091']
MW510609,['34188091']
MW510608,['34188091']
MW510607,['34188091']
MW510606,['34188091']
MW510605,['34188091']
MW510604,['34188091']
MW510603,['34188091']
MW510602,['34188091']
MW510601,['34188091']
MW510600,['34188091']
MW510599,['34188091']
MW510598,['34188091']
MW510597,['34188091']
MW510596,['34188091']
MW510595,['34188091']
MW510594,['34188091']
MW510593,['34188091']
MW510592,['34188091']
MW510591,['34188091']
MW510590,['34188091']
MW510589,['34188091']
MW510588,['34188091']
MW510587,['34188091']
MW510586,['34188091']
MW510585,['34188091']
MW510584,['34188091']
MW510583,['34188091']
MW510582,['34188091']
MW510581,['34188091']
MW510580,['34188091']
MW510579,['34188091']
MW510578,['34188091']
MW510577,['34188091']
MW510576,['34188091']
MW510575,['34188091']
MW510574,['34188091']
MW510573,['34188091']
MW510572,['34188091']
MW510571,['34188091']
MW510570,['34188091']
MW510569,['34188091']
MW510568,['34188091']
MW510567,['34188091']
MW510566,['34188091']
MW510565,['34188091']
MW510564,['34188091']
MW510563,['34188091']
MW510562,['34188091']
MW510561,['34188091']
MW510560,['34188091']
MW510559,['34188091']
MW510558,['34188091']
MW510557,['34188091']
MW510556,['34188091']
MW510555,['34188091']
MW510554,['34188091']
MW510553,['34188091']
MW510552,['34188091']
MW510551,['34188091']
MW510550,['34188091']
MW510549,['34188091']
MW510548,['34188091']
MW510547,['34188091']
MW510546,['34188091']
MW510545,['34188091']
MW510544,['34188091']
MW510543,['34188091']
MW510542,['34188091']
MW510541,['34188091']
MW510540,['34188091']
MW510539,['34188091']
MW510538,['34188091']
MW510537,['34188091']
MW510536,['34188091']
MW510535,['34188091']
MW510534,['34188091']
MW510533,['34188091']
MW510532,['34188091']
MW510531,['34188091']
MW510530,['34188091']
MW510529,['34188091']
MW510528,['34188091']
MW510527,['34188091']
MW510526,['34188091']
MW510525,['34188091']
MW510524,['34188091']
MW510523,['34188091']
MW510522,['34188091']
MW510521,['34188091']
MW510520,['34188091']
MW510519,['34188091']
MW510518,['34188091']
MW510517,['34188091']
MW510516,['34188091']
MW510515,['34188091']
MW510514,['34188091']
MW510513,['34188091']
MW510512,['34188091']
MW510511,['34188091']
MW510510,['34188091']
MW510509,['34188091']
MW510508,['34188091']
MW510507,['34188091']
MW510506,['34188091']
MW510505,['34188091']
MW510504,['34188091']
MW510503,['34188091']
MW510502,['34188091']
MW510501,['34188091']
MW510500,['34188091']
MW510499,['34188091']
MW510498,['34188091']
MW510497,['34188091']
MW510496,['34188091']
MW510495,['34188091']
MW510494,['34188091']
MW510493,['34188091']
MW510492,['34188091']
MW510491,['34188091']
MW510490,['34188091']
MW510489,['34188091']
MW510488,['34188091']
MW510487,['34188091']
MW510486,['34188091']
MW510485,['34188091']
MW510484,['34188091']
MW510483,['34188091']
MW510482,['34188091']
MW510481,['34188091']
MW510480,['34188091']
MW510479,['34188091']
