Locus,Pubmed accession number
DQ181803,['16528037']
DQ181802,['16528037']
DQ181801,['16528037']
DQ181800,['16528037']
DQ181799,['16528037']
DQ181798,['16528037']
DQ181797,['16528037']
EU179859,['18406488']
EU179858,['18406488']
EU179857,['18406488']
X05378,['2952760']
X05377,['2952760']
X05375,['2952760']
DEN2PUO,['3385407']
DEN2NGC,['3385407']
X05376,['2952760']
Z17213,['8479921']
OQ567847,['37376575']
OQ567846,['37376575']
OQ567845,['37376575']
OQ567844,['37376575']
OQ567843,['37376575']
OQ567842,['37376575']
OQ567841,['37376575']
OQ567840,['37376575']
OQ567839,['37376575']
OQ567838,['37376575']
OQ567837,['37376575']
OQ567836,['37376575']
OQ567835,['37376575']
OQ567834,['37376575']
OQ567833,['37376575']
OQ567832,['37376575']
OQ567831,['37376575']
OQ567830,['37376575']
OQ567829,['37376575']
OQ567828,['37376575']
OQ567827,['37376575']
OQ567826,['37376575']
OQ567825,['37376575']
OQ567824,['37376575']
OQ567823,['37376575']
OQ567822,['37376575']
OQ567821,['37376575']
OQ078889,['37243159']
OQ078888,['37243159']
OP491530,['37231481']
OP491528,['37231481']
OP491462,['37231481']
OQ832627,['37317240']
OQ832626,['37317240']
OQ832625,['37317240']
OQ832624,['37317240']
OQ832623,['37317240']
OQ832622,['37317240']
OQ832621,['37317240']
OQ832620,['37317240']
OQ832619,['37317240']
OQ832618,['37317240']
OQ832617,['37317240']
OQ832616,['37317240']
OQ832594,['37317240']
OQ832593,['37317240']
OQ832592,['37317240']
OQ832591,['37317240']
OQ832590,['37317240']
OQ832589,['37317240']
OQ832588,['37317240']
OQ832587,['37317240']
OQ832586,['37317240']
OQ832585,['37317240']
OQ832584,['37317240']
OQ832583,['37317240']
OQ832582,['37317240']
OQ832581,['37317240']
OQ832580,['37317240']
OQ832579,['37317240']
OQ832578,['37317240']
OQ832577,['37317240']
OQ832576,['37317240']
OQ832575,['37317240']
OQ832574,['37317240']
OQ832573,['37317240']
OQ832572,['37317240']
OQ826879,['37243230']
OQ826878,['37243230']
OQ826877,['37243230']
OQ826876,['37243230']
OQ826875,['37243230']
OQ826874,['37243230']
OQ826873,['37243230']
OQ826872,['37243230']
OQ826871,['37243230']
OQ826870,['37243230']
OQ826869,['37243230']
OQ826868,['37243230']
OQ826867,['37243230']
OQ826866,['37243230']
OQ826865,['37243230']
OQ826864,['37243230']
OQ826863,['37243230']
OQ826862,['37243230']
OQ826861,['37243230']
OQ826860,['37243230']
OQ826859,['37243230']
OQ826858,['37243230']
OQ826857,['37243230']
OQ826856,['37243230']
OQ826855,['37243230']
OQ826854,['37243230']
OQ826853,['37243230']
OQ826852,['37243230']
OQ826851,['37243230']
OQ826850,['37243230']
OQ579364,['37243165']
OQ579363,['37243165']
OQ579362,['37243165']
OQ579361,['37243165']
OQ579360,['37243165']
OQ579359,['37243165']
OQ579358,['37243165']
OQ579357,['37243165']
OQ579356,['37243165']
OQ579355,['37243165']
OQ579354,['37243165']
OQ579353,['37243165']
OQ579352,['37243165']
OQ579351,['37243165']
OQ579350,['37243165']
OQ579349,['37243165']
OQ579348,['37243165']
OQ579347,['37243165']
OQ579346,['37243165']
OQ579345,['37243165']
OQ579344,['37243165']
OQ579343,['37243165']
OQ579342,['37243165']
OQ579341,['37243165']
OQ579340,['37243165']
OQ579339,['37243165']
OQ579338,['37243165']
OQ579337,['37243165']
OQ579336,['37243165']
OQ579335,['37243165']
OQ579334,['37243165']
OQ579333,['37243165']
OQ579332,['37243165']
OQ579331,['37243165']
OQ579330,['37243165']
OQ579329,['37243165']
OQ579328,['37243165']
OQ579327,['37243165']
OQ579326,['37243165']
OQ579325,['37243165']
OQ579324,['37243165']
OQ579323,['37243165']
OQ579322,['37243165']
OQ579321,['37243165']
OQ579320,['37243165']
OQ579319,['37243165']
OQ579318,['37243165']
OQ579317,['37243165']
OQ579316,['37243165']
OQ579315,['37243165']
OQ579314,['37243165']
OQ579313,['37243165']
OQ579312,['37243165']
OQ579311,['37243165']
OQ579310,['37243165']
OQ579309,['37243165']
OQ579308,['37243165']
OQ579307,['37243165']
OQ579306,['37243165']
OQ579305,['37243165']
OQ579304,['37243165']
OQ579303,['37243165']
OQ579302,['37243165']
OQ579301,['37243165']
OQ579300,['37243165']
OQ579299,['37243165']
OQ579298,['37243165']
OQ579297,['37243165']
OQ579296,['37243165']
OQ579295,['37243165']
OQ579294,['37243165']
OP925879,['37184906']
OP925878,['37184906']
OP925877,['37184906']
OQ683881,['35238677']
OQ678102,['35238677']
OQ678101,['35238677']
OQ678059,['35238677']
OQ678017,['35238677']
OQ678012,['35238677']
OP999339,['35238677']
MH822944,['30528666']
MH822943,['30528666']
MH822942,['30528666']
MH822941,['30528666']
MH822940,['30528666']
MH822939,['30528666']
MH822949,['30528666']
MH822948,['30528666']
MH822947,['30528666']
MH822946,['30528666']
MH822945,['30528666']
MH822954,['30528666']
MH822953,['30528666']
MH822952,['30528666']
MH822951,['30528666']
MH822950,['30528666']
MH822956,['30528666']
MH822955,['30528666']
OQ000263,['35238677']
OP999336,['35238677']
OK605761,['34931940']
OK605760,['34931940']
OK605759,['34931940']
OK605758,['34931940']
OK605757,['34931940']
MZ540900,['34696340']
MZ540899,['34696340']
MZ520931,['34696340']
MZ520930,['34696340']
MZ520929,['34696340']
MZ520928,['34696340']
MZ520927,['34696340']
MZ520926,['34696340']
MZ520925,['34696340']
MZ520924,['34696340']
MZ520923,['34696340']
MZ520922,['34696340']
MZ520921,['34696340']
MZ520920,['34696340']
MZ520919,['34696340']
MZ520918,['34696340']
MZ520917,['34696340']
MZ520916,['34696340']
MZ520915,['34696340']
MZ520914,['34696340']
MZ520913,['34696340']
MZ520912,['34696340']
MZ520911,['34696340']
MZ520910,['34696340']
MZ520909,['34696340']
MZ520908,['34696340']
MZ520907,['34696340']
MZ520906,['34696340']
MZ520905,['34696340']
MZ520904,['34696340']
MZ520051,['34696340']
MZ520050,['34696340']
MH253297,"['30482266', '34696340']"
MW741553,['34616043']
MZ636805,['34564546']
MZ636804,['34564546']
MZ636803,['34564546']
MZ636802,['34564546']
MZ636801,['34564546']
MZ636799,['34564546']
MZ636798,['34564546']
MZ636797,['34564546']
MZ636796,['34564546']
MZ636795,['34564546']
MZ636794,['34564546']
MZ636793,['34564546']
MZ636792,['34564546']
MZ636791,['34564546']
MZ636790,['34564546']
MZ636789,['34564546']
MZ636788,['34564546']
MZ636787,['34564546']
MZ636786,['34564546']
MZ636785,['34564546']
MZ636784,['34564546']
MZ636783,['34564546']
MZ636782,['34564546']
MZ636781,['34564546']
MZ636780,['34564546']
MZ636779,['34564546']
MZ636778,['34564546']
MZ636777,['34564546']
MZ636776,['34564546']
MZ636775,['34564546']
MZ636774,['34564546']
MZ636773,['34564546']
MZ636772,['34564546']
MZ636771,['34564546']
MZ636770,['34564546']
MZ636769,['34564546']
MZ636768,['34564546']
MZ636767,['34564546']
MZ636766,['34564546']
MZ636765,['34564546']
MZ636764,['34564546']
MZ636763,['34564546']
MZ636762,['34564546']
MZ636761,['34564546']
MW730839,['34452310']
MW730838,['34452310']
MW730837,['34452310']
MW730836,['34452310']
MW730835,['34452310']
MW730834,['34452310']
MW730833,['34452310']
MW730832,['34452310']
MW730831,['34452310']
MW730830,['34452310']
MW730829,['34452310']
MW730828,['34452310']
MW730827,['34452310']
MW730826,['34452310']
MW730825,['34452310']
MW730824,['34452310']
MW730823,['34452310']
MW730822,['34452310']
MW730821,['34452310']
MW730820,['34452310']
MW730819,['34452310']
MW730818,['34452310']
MW730817,['34452310']
MW730816,['34452310']
MW730815,['34452310']
MW730814,['34452310']
MW577855,['33672226']
MW577854,['33672226']
MW577853,['33672226']
MW577852,['33672226']
MW577851,['33672226']
MW577850,['33672226']
MW577849,['33672226']
MW577848,['33672226']
MW577847,['33672226']
MW577846,['33672226']
MW577845,['33672226']
MW577844,['33672226']
MW577843,['33672226']
MW577842,['33672226']
MW577841,['33672226']
MW577840,['33672226']
MW577839,['33672226']
MW577838,['33672226']
MW577837,['33672226']
MW577836,['33672226']
MW577835,['33672226']
MW577834,['33672226']
MW577833,['33672226']
MW577832,['33672226']
MW577831,['33672226']
MW577830,['33672226']
MW577829,['33672226']
MW577828,['33672226']
MW577827,['33672226']
MW577826,['33672226']
MW577825,['33672226']
MW577824,['33672226']
MW577823,['33672226']
MW577822,['33672226']
MW577821,['33672226']
MW577820,['33672226']
MW577819,['33672226']
MW577818,['33672226']
MW577817,['33672226']
MW577816,['33672226']
MW577815,['33672226']
MW577814,['33672226']
MW577813,['33672226']
MW577812,['33672226']
MW577811,['33672226']
MW577810,['33672226']
MW577809,['33672226']
MW788987,['34208667']
MW788986,['34208667']
MW788985,['34208667']
MW788984,['34208667']
MW788983,['34208667']
MW788982,['34208667']
MW788981,['34208667']
MK134006,['33064724']
MK134005,['33064724']
MW191701,['34082088']
MW191700,['34082088']
MW191699,['34082088']
MW191698,['34082088']
MW134530,['33944623']
MW134529,['33944623']
MW134528,['33944623']
MZ008467,['33326875']
MZ008466,['33326875']
MZ008465,['33326875']
MZ008464,['33326875']
MZ008463,['33326875']
MZ008462,['33326875']
MZ008461,['33326875']
MZ008460,['33326875']
MZ008459,['33326875']
MZ008458,['33326875']
MZ008457,['33326875']
MZ008456,['33326875']
MZ008455,['33326875']
MZ008454,['33326875']
MW362793,['33774189']
MW362792,['33774189']
MW186240,['33583132']
MW186239,['33583132']
MN589878,['33672226']
MN589877,['33672226']
MN589876,['33672226']
MN589875,['33672226']
MN589874,['33672226']
MN589873,['33672226']
MN589872,['33672226']
MN589871,['33672226']
MN589870,['33672226']
MN589869,['33672226']
MN589868,['33672226']
MN589867,['33672226']
MN589866,['33672226']
MN589865,['33672226']
MN589864,['33672226']
MN589863,['33672226']
MN589862,['33672226']
MN589861,['33672226']
MN589860,['33672226']
MN589859,['33672226']
MN589858,['33672226']
MT799882,['32992973']
MT799881,['32992973']
MT799880,['32992973']
MT799879,['32992973']
MT799878,['32992973']
MN566112,['32992973']
MN566111,['32992973']
MN566110,['32992973']
MN566109,['32992973']
MN548855,['32992973']
MN548854,['32992973']
MN548853,['32992973']
MN548852,['32992973']
MN548851,['32992973']
MN548850,['32992973']
MN548849,['32992973']
MN548848,['32992973']
MN548847,['32992973']
MN548846,['32992973']
MN548845,['32992973']
MN548844,['32992973']
MN548843,['32992973']
MN548842,['32992973']
MT377729,['32825262']
MN952967,['32451883']
MN952966,['32451883']
MT180479,['32555732']
MN959485,['32428189']
MN959484,['32428189']
MN959483,['32428189']
MN959482,['32428189']
MN959481,['32428189']
MN959480,['32428189']
MN959479,['32428189']
MN959478,['32428189']
MN959477,['32428189']
MN959476,['32428189']
MN959475,['32428189']
MN959474,['32428189']
MN959473,['32428189']
MN959472,['32428189']
MN959471,['32428189']
MN959470,['32428189']
MN959469,['32428189']
MN959468,['32428189']
MN959467,['32428189']
MK517773,['31817553']
MN083241,['32145478']
MN083240,['32145478']
MN083239,['32145478']
MN083238,['32145478']
MN083237,['32145478']
MN083236,['32145478']
MN083235,['32145478']
MN083234,['32145478']
MN083233,['32145478']
MN083232,['32145478']
MN083231,['32145478']
MN083230,['32145478']
MN083229,['32145478']
MN083228,['32145478']
MN083227,['32145478']
MN083226,['32145478']
MN083225,['32145478']
MN083224,['32145478']
MN083223,['32145478']
MN083222,['32145478']
MN083221,['32145478']
MN083220,['32145478']
MN083219,['32145478']
MN083218,['32145478']
MN083217,['32145478']
MN083216,['32145478']
MN083215,['32145478']
MN083214,['32145478']
MN083213,['32145478']
MN083212,['32145478']
MN083211,['32145478']
MN083210,['32145478']
KY495812,['29259329']
KY495819,['29259329']
KY495816,['29259329']
KY495815,['29259329']
KY495814,['29259329']
KY495813,['29259329']
KY495811,['29259329']
KY495810,['29259329']
KY495809,['29259329']
KY495808,['29259329']
KY495807,['29259329']
KY495806,['29259329']
KY495805,['29259329']
KY495804,['29259329']
KY495803,['29259329']
KY495802,['29259329']
MK517752,['31725752']
MK517751,['31725752']
MK517750,['31725752']
MK517749,['31725752']
MK517748,['31725752']
DQ518653,['17984351']
DQ518652,['17984351']
DQ518651,['17984351']
DQ518650,['17984351']
DQ518649,['17984351']
DQ518648,['17984351']
DQ518647,['17984351']
DQ518646,['17984351']
DQ518645,['17984351']
DQ518644,['17984351']
DQ518643,['17984351']
DQ518642,['17984351']
DQ518641,['17984351']
DQ518640,['17984351']
DQ518639,['17984351']
DQ518638,['17984351']
DQ518637,['17984351']
DQ518636,['17984351']
DQ518635,['17984351']
DQ518634,['17984351']
DQ518633,['17984351']
DQ518632,['17984351']
DQ518631,['17984351']
DQ518630,['17984351']
EU076554,['18981504']
EU117352,['18367520']
EU117351,['18367520']
EU117350,['18367520']
EU117349,['18367520']
EU117348,['18367520']
EU117347,['18367520']
EU117346,['18367520']
EU117345,['18367520']
EU117344,['18367520']
EU117343,['18367520']
EU117342,['18367520']
EU117341,['18367520']
EU117340,['18367520']
EU117339,['18367520']
EU117338,['18367520']
EU117337,['18367520']
EU117336,['18367520']
EU117335,['18367520']
EU117334,['18367520']
EU117333,['18367520']
EU117332,['18367520']
EU117331,['18367520']
EU117330,['18367520']
EU117329,['18367520']
EU117328,['18367520']
EU117327,['18367520']
EU117326,['18367520']
EU117325,['18367520']
EU117324,['18367520']
EU117323,['18367520']
EU117322,['18367520']
EU117321,['18367520']
EU117320,['18367520']
EU117319,['18367520']
EU117318,['18367520']
EU117317,['18367520']
EU117316,['18367520']
EU117315,['18367520']
EU117314,['18367520']
EU117313,['18367520']
EU045313,['18692099']
EU045312,['18692099']
EU045311,['18692099']
AF398114,['11714970']
AF398113,['11714970']
AF398112,['11714970']
AF398111,['11714970']
AF398110,['11714970']
AF398109,['11714970']
AF398108,['11714970']
AF398107,['11714970']
AF398106,['11714970']
AF459614,['12363071']
AF459613,['12363071']
AF459612,['12363071']
AF459611,['12363071']
AF459610,['12363071']
AF459609,['12363071']
MK780879,['31415663']
MK780878,['31415663']
MK780877,['31415663']
MK780876,['31415663']
MK780875,['31415663']
MK780874,['31415663']
MK780873,['31415663']
MK780872,['31415663']
MK780871,['31415663']
MK780870,['31415663']
MK780869,['31415663']
MK780868,['31415663']
MK780867,['31415663']
MK780866,['31415663']
MK780865,['31415663']
MK780864,['31415663']
MK780863,['31415663']
MK780862,['31415663']
MK780861,['31415663']
MK780860,['31415663']
MK411559,['31357059']
MK411558,['31357059']
MH781015,['30905775']
MH781014,['30905775']
MH781013,['30905775']
MF477849,['30192396']
MF477848,['30192396']
MH460898,['30882320']
MH613986,['30844508']
MH613985,['30844508']
MH613984,['30844508']
MH010630,['30023351']
MH010629,['30023351']
MH010628,['30023351']
MH010627,['30023351']
MH010626,['30023351']
MH010625,['30023351']
MH010624,['30023351']
MH010623,['30023351']
MH010622,['30023351']
MH010621,['30023351']
MH010620,['30023351']
MH010619,['30023351']
MH010618,['30023351']
MH010617,['30023351']
MH010616,['30023351']
MH010615,['30023351']
MH010614,['30023351']
MH010613,['30023351']
MH010612,['30023351']
MH010611,['30023351']
MH010610,['30023351']
MH010609,['30023351']
MH010608,['30023351']
MH010607,['30023351']
MH010606,['30023351']
MH010605,['30023351']
MH397680,['30540031']
MH397679,['30540031']
MH397678,['30540031']
MH253296,['30482266']
MH594930,['30366083']
MH594929,['30366083']
MH594928,['30366083']
MH594927,['30366083']
MH594926,['30366083']
MH594925,['30366083']
MH594924,['30366083']
MH594923,['30366083']
MH594922,['30366083']
MH594921,['30366083']
MH594920,['30366083']
MH594919,['30366083']
MH594918,['30366083']
MH594917,['30366083']
MH594916,['30366083']
MH594915,['30366083']
MH594914,['30366083']
MH594913,['30366083']
MH594912,['30366083']
MH594911,['30366083']
MH594910,['30366083']
MH594909,['30366083']
MH594908,['30366083']
MH594907,['30366083']
MH594906,['30366083']
MH594905,['30366083']
MH594904,['30366083']
MH594903,['30366083']
MH594902,['30366083']
MH594901,['30366083']
MH594900,['30366083']
MH594899,['30366083']
MH594898,['30366083']
KY887631,['30157270']
KY887630,['30157270']
KY887629,['30157270']
KY887628,['30157270']
KY887627,['30157270']
KY887626,['30157270']
KY887625,['30157270']
KY887624,['30157270']
KY887623,['30157270']
KY887622,['30157270']
KY887621,['30157270']
KY887620,['30157270']
KY887619,['30157270']
KY887618,['30157270']
KY887617,['30157270']
KY887616,['30157270']
KY887615,['30157270']
KY887614,['30157270']
KY887613,['30157270']
KY887612,['30157270']
KY887611,['30157270']
KY887610,['30157270']
KY887609,['30157270']
KY887608,['30157270']
KY887607,['30157270']
KX901652,['30157270']
KX901651,['30157270']
KX901650,['30157270']
KX901649,['30157270']
KX901648,['30157270']
KX901647,['30157270']
KX901646,['30157270']
KX901645,['30157270']
MH178415,['30113689']
MH178414,['30113689']
MH178413,['30113689']
MH173165,['30113689']
MH173164,['30113689']
MH173163,['30113689']
MH173162,['30113689']
MH173161,['30113689']
MH428207,['30089479']
MH428206,['30089479']
MH428205,['30089479']
MH428204,['30089479']
MH428203,['30089479']
MG937763,['30015610']
MG937762,['30015610']
MG053144,['29470509']
MG053143,['29470509']
MG053142,['29470509']
MG053141,['29470509']
MG053140,['29470509']
MG053139,['29470509']
MG053138,['29470509']
MG053137,['29470509']
MG053136,['29470509']
MG053135,['29470509']
MG053134,['29470509']
MG053133,['29470509']
MG053132,['29470509']
MG053131,['29470509']
MG053130,['29470509']
MG053129,['29470509']
MG053128,['29470509']
MG053127,['29470509']
MG053126,['29470509']
MG053125,['29470509']
MG053124,['29470509']
MG053123,['29470509']
MG053122,['29470509']
MG053121,['29470509']
MG053120,['29470509']
MG053119,['29470509']
KY849768,['29377886']
KY849767,['29377886']
KY849766,['29377886']
KY849765,['29377886']
KY849764,['29377886']
KY849763,['29377886']
KY849760,['29377886']
KY849759,['29377886']
KY849758,['29377886']
KY849757,['29377886']
KY849756,['29377886']
KY849755,['29377886']
KY849754,['29377886']
KY849753,['29377886']
KY849752,['29377886']
KY709187,['29056517']
KY709186,['29056517']
KY709185,['29056517']
KY709184,['29056517']
KY815105,['29016312']
KY815104,['29016312']
KY815103,['29016312']
KY820698,['28854207']
KX646385,['28600724']
KX646384,['28600724']
KX646383,['28600724']
KX646382,['28600724']
KY427085,['28456663']
KY427084,['28456663']
KY461758,['27139442']
KY461757,['27139442']
KY461756,['27139442']
KY782127,['28422007']
KY782126,['28422007']
KY782125,['28422007']
KX224270,['27316694']
KX224269,['27316694']
KX224268,['27316694']
KX224267,['27316694']
KX224266,['27316694']
KX357999,['28414004']
KX357998,['28414004']
KX357997,['28414004']
KX357996,['28414004']
KX357995,['28414004']
KX357994,['28414004']
KX357993,['28414004']
KX357992,['28414004']
KX357991,['28414004']
KX357990,['28414004']
KX357989,['28414004']
KX357988,['28414004']
KX357987,['28414004']
KX357986,['28414004']
KX357985,['28414004']
KX357984,['28414004']
KX357983,['28414004']
KX357982,['28414004']
KX357981,['28414004']
KX357980,['28414004']
KX357979,['28414004']
KX357978,['28414004']
KX357977,['28414004']
KX357976,['28414004']
KU886713,['28198548']
KU886712,['28198548']
KU886710,['28198548']
KU886709,['28198548']
KU886708,['28198548']
KU886707,['28198548']
KU886706,['28198548']
KU886705,['28198548']
KU886704,['28198548']
KU886703,['28198548']
KU886702,['28198548']
KU886701,['28198548']
KU886700,['28198548']
KU886699,['28198548']
KX147335,['28098525']
KX577715,['27681163']
KX577714,['27681163']
KX577713,['27681163']
KX577712,['27681163']
KX577711,['27681163']
KX577710,['27681163']
KX577709,['27681163']
KX577708,['27681163']
KX577707,['27681163']
KX577706,['27681163']
KX577705,['27681163']
KX577704,['27681163']
KX577703,['27681163']
KX577702,['27681163']
KX577701,['27681163']
KX577700,['27681163']
KX577699,['27681163']
KX577698,['27681163']
KX577697,['27681163']
KX577696,['27681163']
KX577695,['27681163']
KX577694,['27681163']
KX577693,['27681163']
KX577692,['27681163']
KX577691,['27681163']
KX577690,['27681163']
KX577689,['27681163']
KX577688,['27681163']
KX577687,['27681163']
KX577686,['27681163']
KX577685,['27681163']
KX577684,['27681163']
KX577683,['27681163']
KX577682,['27681163']
KX577681,['27681163']
KX577680,['27681163']
KX577679,['27681163']
KX577678,['27681163']
KX577677,['27681163']
KX577676,['27681163']
KX577675,['27681163']
KX577674,['27681163']
KX577673,['27681163']
KX577672,['27681163']
KX577671,['27681163']
KX577670,['27681163']
KX577669,['27681163']
KX577668,['27681163']
KX577667,['27681163']
KX577666,['27681163']
KX577665,['27681163']
KX577664,['27681163']
KX577663,['27681163']
KX577662,['27681163']
KX577661,['27681163']
KX577660,['27681163']
KX577659,['27681163']
KX577658,['27681163']
KX577657,['27681163']
KX577656,['27681163']
KX577655,['27681163']
KX577654,['27681163']
KX577653,['27681163']
KX577652,['27681163']
KX577651,['27681163']
KX577650,['27681163']
KX577649,['27681163']
KX577648,['27681163']
KX577647,['27681163']
KX577646,['27681163']
KX577645,['27681163']
KX577644,['27681163']
KX577643,['27681163']
KX577642,['27681163']
KX577641,['27681163']
KX577640,['27681163']
KX702403,['27694479']
KU666949,['27514512']
KU666948,['27514512']
KU666947,['27514512']
KU666946,['27514512']
KU666945,['27514512']
KU666944,['27514512']
DQ341201,['16824937']
DQ341200,['16824937']
DQ341199,['16824937']
DQ341198,['16824937']
DQ341197,['16824937']
DQ341196,['16824937']
DQ341195,['16824937']
DQ070873,['16096709']
AY927231,['12589955']
AY692471,['16096709']
AY692470,['16096709']
AY692469,['16096709']
AY692468,['16096709']
AY692467,['16096709']
AY692466,['16096709']
AY692465,['16096709']
AY484608,['15183052']
AY484607,['15183052']
AY484606,['15183052']
AY484605,['15183052']
AY484604,['15183052']
AY484603,['15183052']
AY484602,['15183052']
AY484601,['15183052']
AY484600,['15183052']
AY484599,['15183052']
AY484598,['15183052']
AY484667,['15183052']
AY484666,['15183052']
AY484665,['15183052']
AY484664,['15183052']
AY484663,['15183052']
AY484662,['15183052']
AY484661,['15183052']
AY484660,['15183052']
AY484659,['15183052']
AY484658,['15183052']
AY484657,['15183052']
AY484656,['15183052']
AY484655,['15183052']
AY484654,['15183052']
AY484653,['15183052']
AY484652,['15183052']
AY484651,['15183052']
AY484650,['15183052']
AY484649,['15183052']
AY484648,['15183052']
AY484647,['15183052']
AY484646,['15183052']
AY484645,['15183052']
AY484644,['15183052']
AY484643,['15183052']
AY484642,['15183052']
AY484641,['15183052']
AY484640,['15183052']
AY484639,['15183052']
AY484638,['15183052']
AY484637,['15183052']
AY484636,['15183052']
AY484635,['15183052']
AY484634,['15183052']
AY484633,['15183052']
AY484632,['15183052']
AY484631,['15183052']
AY484630,['15183052']
AY484629,['15183052']
AY484628,['15183052']
AY484627,['15183052']
AY484626,['15183052']
AY484625,['15183052']
AY484624,['15183052']
AY484623,['15183052']
AY484622,['15183052']
AY484621,['15183052']
AY484620,['15183052']
AY484619,['15183052']
AY484618,['15183052']
AY484617,['15183052']
AY484616,['15183052']
AY484615,['15183052']
AY484614,['15183052']
AY484613,['15183052']
AY484612,['15183052']
AY484611,['15183052']
AY484610,['15183052']
AY484609,['15183052']
AY593244,['10479118']
AY593243,['10479118']
AY593242,['10479118']
AY593238,['10479118']
AY593237,['10479118']
AY593236,['10479118']
AY593235,['10479118']
AY593234,['10479118']
AY577439,['15613313']
AY577438,['15613313']
AY577437,['15613313']
AY577436,['15613313']
AY577435,['15613313']
AY577434,['15613313']
AY577433,['15613313']
AY577432,['15613313']
AY577431,['15613313']
AY577430,['15613313']
AY466449,['15516647']
AY449685,['15516647']
AY449684,['15516647']
AY449683,['15516647']
AY449682,['15516647']
AY449681,['15516647']
AY449680,['15516647']
AY449679,['15516647']
AY449678,['15516647']
AY449677,['15516647']
AY449676,['15516647']
AY449675,['15516647']
AY237295,['14555849']
AY237294,['14555849']
AY237293,['14555849']
AY237292,['14555849']
AY237291,['14555849']
AY237290,['14555849']
AY237289,['14555849']
AY237288,['14555849']
AF410379,['12093174']
AF410378,['12093174']
AF410377,['12093174']
AF410376,['12093174']
AF410375,['12093174']
AF410374,['12093174']
AF410373,['12093174']
AF410372,['12093174']
AF410371,['12093174']
AF410370,['12093174']
AF410369,['12093174']
AF410368,['12093174']
AF410367,['12093174']
AF410366,['12093174']
AF410360,['12093174']
AF410359,['12093174']
AF410357,['12093174']
AF410356,['12093174']
AF410355,['12093174']
AF410354,['12093174']
AF410353,['12093174']
AF410352,['12093174']
AF410351,['12093174']
AF410350,['12093174']
AF410349,['12093174']
AF410347,['12093174']
AF410346,['12093174']
AF410345,['12093174']
AF363092,['11714970']
AF363091,['11714970']
AF363090,['11714970']
AF363089,['11714970']
AF363088,['11714970']
AF363087,['11714970']
AF363086,['11714970']
AF363085,['11714970']
AF363084,['11714970']
AF363083,['11714970']
AF363082,['11714970']
AF363081,['11714970']
AF363080,['11714970']
AF363079,['11714970']
AF363078,['11714970']
AF363077,['11714970']
AF363076,['11714970']
AF363075,['11714970']
AF363074,['11714970']
AF363073,['11714970']
AF363072,['11714970']
AF363071,['11714970']
AF363070,['11714970']
AF363069,['11714970']
AF360863,['11714970']
AF360862,['11714970']
AF360861,['11714970']
AF360860,['11714970']
AY044442,['11714970']
AF231720,['10708439']
AF231719,['10708439']
AF231718,['10708439']
AF231717,['10708439']
AF231716,['10708439']
AF231715,['10708439']
AF134980,['10479118']
AF135599,['10479118']
AY306120,['15286818']
AY306119,['15286818']
AY306118,['15286818']
AY306117,['15286818']
AY306116,['15286818']
AY306115,['15286818']
AY306114,['15286818']
AY306113,['15286818']
AY306112,['15286818']
AY306111,['15286818']
AY306110,['15286818']
AY306109,['15286818']
AY306108,['15286818']
AY306107,['15286818']
AY306106,['15286818']
AY306105,['15286818']
AY306104,['15286818']
AY306103,['15286818']
AY306102,['15286818']
AY306101,['15286818']
AY306100,['15286818']
AY306099,['15286818']
AY158341,['12812340']
AY158340,['12812340']
AY158339,['12812340']
AY158338,['12812340']
AY158337,['12812340']
AY158336,['12812340']
AY158335,['12812340']
AY158334,['12812340']
AY158333,['12812340']
AY158332,['12812340']
AY158331,['12812340']
AY158330,['12812340']
AY158329,['12812340']
AY158328,['12812340']
AY158327,['12812340']
AF520799,['12751316']
DVU91891,['9143280']
DVU91890,['9143280']
DVU91889,['9143280']
DVU91888,['9143280']
DVU91887,['9143280']
DVU91886,['9143280']
DVU91885,['9143280']
DVU91884,['9143280']
DVU91883,['9143280']
DVU91882,['9143280']
DVU91881,['9143280']
DVU91880,['9143280']
DVU91879,['9143280']
DVU91878,['9143280']
DVU91877,['9143280']
DVU91876,['9143280']
DVU91875,['9143280']
DVU91874,['9143280']
DVU91873,['9143280']
DVU91872,['9143280']
DVU91871,['9143280']
DVU91870,['9143280']
DVU91869,['9143280']
DVU91868,['9143280']
DVU91867,['9143280']
DVU91866,['9143280']
DVU91865,['9143280']
DVU91864,['9143280']
DVU91863,['9143280']
DVU91862,['9143280']
DVU91861,['9143280']
DVU91860,['9143280']
DVU91859,['9143280']
DENJAMA,['3024394']
DENESN1BR,['2129562']
DENESN1BH,['2129562']
DENENVGLPF,['8212556']
EF540856,['17984351']
KX380838,['27509020']
KX380837,['27509020']
KX380836,['27509020']
KX380835,['27509020']
KX380834,['27509020']
KX380833,['27509020']
KX380832,['27509020']
KX380831,['27509020']
KX380830,['27509020']
KX380829,['27509020']
KX380828,['27509020']
KX380827,['27509020']
KX380826,['27509020']
KX380825,['27509020']
KX380824,['27509020']
KX380823,['27509020']
KX380822,['27509020']
KX380821,['27509020']
KX380820,['27509020']
KX380819,['27509020']
KX380818,['27509020']
KX380817,['27509020']
KX380816,['27509020']
KX380815,['27509020']
KX380814,['27509020']
KX380813,['27509020']
KX380812,['27509020']
KX380811,['27509020']
KX380810,['27509020']
KX380809,['27509020']
KX380808,['27509020']
KX380807,['27509020']
DQ917247,['17014880']
DQ917246,['17014880']
DQ917245,['17014880']
